Category1,Category2,DistanceType,EffectSize,Category1Mean,Category2Mean,Category1Count,Category2Count
Cultural Artifacts,Social Relationships,Cosine,0.037410029849219234,0.02250150125705426,0.02181663227661166,3312,3312
Cultural Artifacts,Human Roles,Cosine,-0.007001136434320548,0.02250150125705426,0.022633864760476106,3312,3312
Food Items,Spatial Concepts,Jaccard,-1.4660440810880706,0.1650837085619694,0.42004601816515713,3312,3312
Environmental Phenomena,Spatial Concepts,Jaccard,-1.3723041041782151,0.1741506279549758,0.42004601816515713,3312,3312
Neutral Animals,Spatial Concepts,Jaccard,-1.3195222143383174,0.19308429091037785,0.42004601816515713,3312,3312
Plants,Spatial Concepts,Jaccard,-1.2170472794891019,0.204923096227444,0.42004601816515713,3312,3312
Inanimate Objects,Spatial Concepts,Jaccard,-1.1915646148640777,0.2091602037254211,0.42004601816515713,3312,3312
Cultural Artifacts,Spatial Concepts,Jaccard,-1.1296797652713022,0.21575857717162067,0.42004601816515713,3312,3312
Places,Spatial Concepts,Jaccard,-1.107258136586557,0.22486320040667868,0.42004601816515713,3312,3312
Human Roles,Spatial Concepts,Jaccard,-1.1068917746617004,0.2317514409905714,0.42004601816515713,3312,3312
Spatial Concepts,Time Concepts,Jaccard,1.0169959251688023,0.42004601816515713,0.23121383447470403,3312,3312
Social Relationships,Spatial Concepts,Jaccard,-0.995656224709785,0.24649219126520916,0.42004601816515713,3312,3312
Abstract Concepts,Spatial Concepts,Jaccard,-0.8916790025500794,0.2533411133954612,0.42004601816515713,3312,3312
Food Items,Social Relationships,Jaccard,-0.5505735481927466,0.1650837085619694,0.24649219126520916,3312,3312
Abstract Concepts,Food Items,Jaccard,0.5428657178624624,0.2533411133954612,0.1650837085619694,3312,3312
Abstract Concepts,Environmental Phenomena,Jaccard,0.4707971463675149,0.2533411133954612,0.1741506279549758,3312,3312
Environmental Phenomena,Social Relationships,Jaccard,-0.46966460502716506,0.1741506279549758,0.24649219126520916,3312,3312
Food Items,Human Roles,Jaccard,-0.46657989946227024,0.1650837085619694,0.2317514409905714,3312,3312
Food Items,Time Concepts,Jaccard,-0.4104820542158299,0.1650837085619694,0.23121383447470403,3312,3312
Food Items,Places,Jaccard,-0.39807216280755053,0.1650837085619694,0.22486320040667868,3312,3312
Environmental Phenomena,Human Roles,Jaccard,-0.3859128572057651,0.1741506279549758,0.2317514409905714,3312,3312
Abstract Concepts,Neutral Animals,Jaccard,0.37535394403574,0.2533411133954612,0.19308429091037785,3312,3312
Neutral Animals,Social Relationships,Jaccard,-0.3667839465882544,0.19308429091037785,0.24649219126520916,3312,3312
Environmental Phenomena,Time Concepts,Jaccard,-0.3421434068798296,0.1741506279549758,0.23121383447470403,3312,3312
Cultural Artifacts,Food Items,Jaccard,0.3258817516360783,0.21575857717162067,0.1650837085619694,3312,3312
Environmental Phenomena,Places,Jaccard,-0.3245641860943895,0.1741506279549758,0.22486320040667868,3312,3312
Abstract Concepts,Plants,Jaccard,0.2923474123327812,0.2533411133954612,0.204923096227444,3312,3312
Food Items,Inanimate Objects,Jaccard,-0.29189510476525315,0.1650837085619694,0.2091602037254211,3312,3312
