Language1,Language2,Proficiency,LanguageEmbeddingDistance,AvgNounDistance,AvgJaccardDistance
LV # Latvian,ZH # Mandarin,B1,0.0020231009,0.03244226,0.2798990565534683
PL # Polish,PS # Pashto,B1,0.0022114515,0.034606304,0.28470603470603467
PL # Polish,PT # Portuguese,B1,0.004062712,0.03257598,0.2742442742442742
PL # Polish,RU # Russian,B1,0.0026327968,0.030694544,0.26677546990046985
PL # Polish,SQ # Albanian,B1,0.000485003,0.017185904,0.16743210493210492
PL # Polish,SW # Swahili,B1,0.0015528202,0.024295697,0.23101666851666852
PL # Polish,TH # Thai,B1,0.004139602,0.040015135,0.29085935397209906
PL # Polish,TR # Turkish,B1,0.00189358,0.028773125,0.24304630554630555
PL # Polish,UR # Urdu,B1,0.0020970702,0.024347706,0.2210081585081585
PL # Polish,VI # Vietnamese,B1,0.0011280179,0.024687326,0.23990361490361492
PL # Polish,ZH # Mandarin,B1,0.0009138584,0.02094724,0.20194620194620194
PS # Pashto,PT # Portuguese,B1,0.0018024445,0.031595405,0.2597680097680098
PS # Pashto,RU # Russian,B1,0.001753509,0.029088609,0.27494727494727494
PS # Pashto,SQ # Albanian,B1,0.0019488335,0.030161342,0.25767982017982016
PS # Pashto,SW # Swahili,B1,0.0026965141,0.033002146,0.2639149045399045
PS # Pashto,TH # Thai,B1,0.0018012524,0.031782884,0.2640160765160765
PS # Pashto,TR # Turkish,B1,0.0005803704,0.022513332,0.21303233803233804
PS # Pashto,UR # Urdu,B1,0.0030480623,0.030516572,0.23543354793354793
PS # Pashto,VI # Vietnamese,B1,0.0019276142,0.03761016,0.29445381007881005
PS # Pashto,ZH # Mandarin,B1,0.0016557574,0.030079693,0.26582040644540644
PT # Portuguese,RU # Russian,B1,0.004117787,0.03412933,0.2951805139305139
PT # Portuguese,SQ # Albanian,B1,0.0043774247,0.03291299,0.28130954693454696
PT # Portuguese,SW # Swahili,B1,0.0043750405,0.033934675,0.28453259703259703
PT # Portuguese,TH # Thai,B1,0.0047637224,0.042850357,0.31944824193598703
PT # Portuguese,TR # Turkish,B1,0.0020213723,0.026637029,0.22975172975172972
PT # Portuguese,UR # Urdu,B1,0.0034316778,0.029391114,0.250041625041625
PT # Portuguese,VI # Vietnamese,B1,0.004073739,0.034115132,0.2874093499093499
PT # Portuguese,ZH # Mandarin,B1,0.0030917525,0.03055552,0.26992451992451993
RU # Russian,SQ # Albanian,B1,0.0020899773,0.029256633,0.26003221315721314
RU # Russian,SW # Swahili,B1,0.0027618408,0.030026384,0.2646265771265771
RU # Russian,TH # Thai,B1,0.0022764802,0.031783406,0.28537434787434784
RU # Russian,TR # Turkish,B1,0.0016537309,0.027536083,0.25504819254819255
RU # Russian,UR # Urdu,B1,0.00399065,0.031607635,0.2719878501128501
RU # Russian,VI # Vietnamese,B1,0.0023677945,0.033131525,0.29080930643430647
RU # Russian,ZH # Mandarin,B1,0.002677679,0.032638397,0.29779306341806344
SQ # Albanian,SW # Swahili,B1,0.0014984608,0.025077896,0.22242167554667555
SQ # Albanian,TH # Thai,B1,0.0035307407,0.034507133,0.26362617048891557
SQ # Albanian,TR # Turkish,B1,0.0020020604,0.02636584,0.23904162966662967
SQ # Albanian,UR # Urdu,B1,0.002151668,0.027105354,0.2328181078181078
SQ # Albanian,VI # Vietnamese,B1,0.0008716583,0.025535848,0.218377109002109
SQ # Albanian,ZH # Mandarin,B1,0.00086182356,0.02391005,0.22673160173160176
SW # Swahili,TH # Thai,B1,0.0055965185,0.04221684,0.29737579278020454
SW # Swahili,TR # Turkish,B1,0.0028101206,0.031429674,0.2583504458504458
SW # Swahili,UR # Urdu,B1,0.0007492304,0.017442578,0.1638014763014763
SW # Swahili,VI # Vietnamese,B1,0.0017457604,0.025755933,0.2260262885262885
SW # Swahili,ZH # Mandarin,B1,0.0011382103,0.023479333,0.23373848373848372
TH # Thai,TR # Turkish,B1,0.0020791888,0.029223105,0.253237639267051
TH # Thai,UR # Urdu,B1,0.006794691,0.048839778,0.33305365658306835
TH # Thai,VI # Vietnamese,B1,0.0025024414,0.031702854,0.21863478297301825
